MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
bienfaisance	beneficence	Wohltätigkeit	Q84426996	https://www.wikidata.org/wiki/Q84426996		beneficience		DEL
bonheur	happiness	Glück	Q8	https://www.wikidata.org/wiki/Q8	Bonheur	happiness	Glück	DEL
botanique	botany	Botanik	Q441	https://www.wikidata.org/wiki/Q441	Botanique	botany	Botanik	DEL
boudoir	boudoir	Boudoir	Q62238	https://www.wikidata.org/wiki/Q62238	boudoir	boudoir	Boudoir	DEL
bouffon	jester	Narr	Q215548	https://www.wikidata.org/wiki/Q215548	Bouffon	jester	Narr	DEL
bureaucratie	bureaucracy	Bürokratie	Q72468	https://www.wikidata.org/wiki/Q72468	Bureaucratie	bureaucracy	Bürokratie	DEL
cabinet de curiosité	cabinet of curiosities	Kuriositätenkabinett	Q1146002	https://www.wikidata.org/wiki/Q1146002	cabinet de curiosités	cabinet of curiosities	Wunderkammer	DEL
Café	coffeehouse	Café	Q30022	https://www.wikidata.org/wiki/Q30022	Café	coffeehouse	Café	DEL
Canal	canal	Kanal	Q12284	https://www.wikidata.org/wiki/Q12284	canal	canal	Kanal	DEL
Capitalisme	capitalism	Kapitalismus	Q6206	https://www.wikidata.org/wiki/Q6206	Capitalisme	capitalism	Kapitalismus	DEL
Caricature	caricature	Karikatur	Q482919	https://www.wikidata.org/wiki/Q482919	caricature	caricature	Karikatur	DEL
cartographie	cartography	Kartografie	Q42515	https://www.wikidata.org/wiki/Q42515	cartographie	cartography	Kartografie	DEL
castration	castration	Kastration	Q58929	https://www.wikidata.org/wiki/Q58929	castration	castration	Kastration	DEL
catastrophe	disaster	Katastrophe	Q3839081	https://www.wikidata.org/wiki/Q3839081	catastrophe	disaster	Katastrophe	Seklit
catholicisme	Catholicism	Katholizismus	Q1841	https://www.wikidata.org/wiki/Q1841	catholicisme	Catholicism	Katholizismus	DEL
censure	censure	Zensur	Q5058947	https://www.wikidata.org/wiki/Q5058947	Censure	censure		DEL
chaleur	heat	Hitze	Q44432	https://www.wikidata.org/wiki/Q44432	chaleur	heat	Wärme	DEL
chanson	song	Lied	Q7366	https://www.wikidata.org/wiki/Q7366	chanson	song	Lied	DEL
