MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
jalousie	jealousy	Eifersucht	Q6545811	https://www.wikidata.org/wiki/Q6545811	jalousie	jealousy	Eifersucht	Seklit
Japon	Japan	Japan	Q17	https://www.wikidata.org/wiki/Q17	Japon	Japan	Japan	DEL
jardin	garden	Garten	Q1107656	https://www.wikidata.org/wiki/Q1107656	jardin	garden	Garten	DEL
jésuite	jesuit	Jesuit	Q63173086	https://www.wikidata.org/wiki/Q63173086	jésuite	jesuit	Jesuit	DEL
joie	joy	Freude	Q935526	https://www.wikidata.org/wiki/Q935526	joie	joy	Freude	Seklit
journalisme	journalism	Journalismus	Q11030	https://www.wikidata.org/wiki/Q11030	journalisme	journalism	Journalismus	DEL
Judaïsme	Judaism	Judentum	Q9268	https://www.wikidata.org/wiki/Q9268	Judaïsme	Judaism	Judentum	DEL
jugement	judgment	Urteil	Q3769186	https://www.wikidata.org/wiki/Q3769186	jugement	judgment	Urteil	Seklit
justice	judiciary	Judikative	Q105985	https://www.wikidata.org/wiki/Q105985	Pouvoir judicaire	judiciary	Judikative	DEL
justice	justice	Gerechtigkeit	Q5167661	https://www.wikidata.org/wiki/Q5167661	justice	justice	Gerechtigkeit	Seklit
laïcisation	laicisation	Laizisierung	Q3220108	https://www.wikidata.org/wiki/Q3220108	laïcisation	laicisation		DEL
laideur	ugliness	Hässlichkeit	Q1415055	https://www.wikidata.org/wiki/Q1415055	laideur	ugliness	Hässlichkeit	DEL
langue	language	Sprache	Q34770	https://www.wikidata.org/wiki/Q34770	langue	language	Einzelsprache	DEL
lecture	lecture	Lesen	Q199657	https://www.wikidata.org/wiki/Q199657	lecture	lecture	Lesen	DEL
libéralisme	liberalism	Liberalismus	Q6216	https://www.wikidata.org/wiki/Q6216	Libéralisme classique	Classic liberalism	Liberalismus	DEL
liberté	liberty	Freiheit	Q2979	https://www.wikidata.org/wiki/Q2979	liberté	liberty	Freiheit	DEL
libertinage	libertinism	Libertinismus	Q18915146	https://www.wikidata.org/wiki/Q18915146	libertinage	libertinsime	Libertinismus	DEL
littérature clandestine	Clandestine literature	Klandestine Literatur	Q3821764	https://www.wikidata.org/wiki/Q3821764	Littérature clandestine	Clandestine literature		DEL
livre	book	Buch	Q571	https://www.wikidata.org/wiki/Q571	livre	Book	Buch	DEL
Locus amoenus	Locus amoenus	Locus amoenus	Q739317	https://www.wikidata.org/wiki/Q739317	Locus amoenus	Locus amoenus	Locus amoenus	Topic Modeling
Lumières	enlightenment	Aufklärung	Q2512021	https://www.wikidata.org/wiki/Q2512021	lumières	lumières	Vordenker der Aufklärung	DEL
luxe	luxury	Luxus	Q10953913	https://www.wikidata.org/wiki/Q10953913	Luxe	luxury	Luxus	DEL
machine	machine	Maschine	Q11019	https://www.wikidata.org/wiki/Q11019	machine	machine	Maschine	DEL
magnétisme	magnetism	Magnetismus	Q3294789	https://www.wikidata.org/wiki/Q3294789	magnétisme	magnetism	Magnetismus	DEL
mal	evil	das Böse		https://www.wikidata.org/wiki/Q15292	mal	evil	das Böse	Seklit
maladie	disease	Krankheit	Q12136	https://www.wikidata.org/wiki/Q12136	maladie	disease	Krankheit	Seklit
masque	mask	Maske	Q161524	https://www.wikidata.org/wiki/Q161524	masque	mask	Maske	DEL
matérialisme	materialism	Materialismus	Q7081	https://www.wikidata.org/wiki/Q7081	matérialisme	materialism	Materialismus	DEL
mathématiques	mathematics	Mathematik	Q395	https://www.wikidata.org/wiki/Q395	mathématiques	mathematics	Mathematik	DEL
mécanique	mechanics	Mechanik	Q41217	https://www.wikidata.org/wiki/Q41217	mécanique	mechanics	Mechanik	DEL
médecine	medicine	Medizin	Q11190	https://www.wikidata.org/wiki/Q11190	médecine	medicine	Medizin	DEL
mélancolie	melancholia	Melancholie	Q192077	https://www.wikidata.org/wiki/Q192077	mélancolie	melancholia	Melancholie	DEL
mémoire	recollection	Erinnerung	Q3267244	https://www.wikidata.org/wiki/Q3267244	mémoire	recollection	Erinnerung	Seklit
mépris	contempt	Verachtung	Q5338825	https://www.wikidata.org/wiki/Q5338825	mépris	contempt	Verachtung	Seklit
métaphysique	metaphysics	Metaphysik	Q35277	https://www.wikidata.org/wiki/Q35277	métaphysique	metaphysics	Metaphysik	DEL
migration	migration	Migration	Q177626	https://www.wikidata.org/wiki/Q177626	migration	human migration	Migration	DEL
minéralogie	mineralogy	Mineralogie	Q83353	https://www.wikidata.org/wiki/Q83353	minéralogie	mineralogy	Mineralogie	DEL
mobilier	furniture	Mobiliar	Q14745	https://www.wikidata.org/wiki/Q14745	mobilier	furniture	Möbel	DEL
mœurs	mores	Sitten	Q1115221	https://www.wikidata.org/wiki/Q1115221	mœurs	mores	Sitte	DEL
monade	monad	Monade	Q12370437	https://www.wikidata.org/wiki/Q12370437	monade	monad	Monade	DEL
monarchie	monarchie	Monarchie	Q7269	https://www.wikidata.org/wiki/Q7269	monarchy	monarchie	Monarchie	Topic Modeling
monstruosité	monstrosity	Monstrosität	Q276453	https://www.wikidata.org/wiki/Q276453	monstruosité	monster	Monster	DEL
montagne	mountain	Berg	Q8502	https://www.wikidata.org/wiki/Q8502	montagne	mountain	Berg	DEL
montgolfière	hot air balloon	Heißluftballon	Q1551574	https://www.wikidata.org/wiki/Q1551574	montgolfière	hot air balloon	Heißluftballon	DEL
monument	monument	Monument	Q4989906	https://www.wikidata.org/wiki/Q4989906	monument	monument	Denkmal	DEL
morale	morality	Moral	Q48324	https://www.wikidata.org/wiki/Q48324	morale	morality	Moral	DEL
mort	death	Tod	Q4	https://www.wikidata.org/wiki/Q4	mort	death	Tod	DEL
musée	museum	Museum	Q33506	https://www.wikidata.org/wiki/Q33506	musée	museum	Museum	DEL
musique	music	Musik	Q638	https://www.wikidata.org/wiki/Q638	musique	music	Musik	DEL
mystère	mystery	Mysterium	Q1247195	https://www.wikidata.org/wiki/Q1247195	mystère	mystery	Mysterium	BGRF
mystique	mysticism	Mystik	Q45996	https://www.wikidata.org/wiki/Q45996	mystique	mysticism	Mystik	DEL
mythologie	mythology	Mythologie	Q9134	https://www.wikidata.org/wiki/Q9134	mythologie	mythology	Mythologie	DEL
nation	nation	Nation	Q6266	https://www.wikidata.org/wiki/Q6266	nation	nation	Nation	DEL
nature	nature	Natur	Q7860	https://www.wikidata.org/wiki/Q7860	nature	nature	Natur	DEL
nécessité	necessity	Notwendigkeit	Q2301186	https://www.wikidata.org/wiki/Q2301186	nécessité	necessity	Notwendigkeit	DEL
néo-classicisme	neoclassicism	Klassizismus	Q14378	https://www.wikidata.org/wiki/Q14378	néo-classicisme	neoclassicism	Klassizismus	DEL
newtonianisme	Newtonianism	Newtonismus	Q17123497	https://www.wikidata.org/wiki/Q17123497	newtonisme	Newtonianism		DEL
noble sauvage	noble savage	edler Wilder	Q829689	https://www.wikidata.org/wiki/Q829689	bon sauvage	noble savage	edler Wilder	DEL
noblesse	nobility	Adel	Q134737	https://www.wikidata.org/wiki/Q134737	noblesse	nobility	Adel	DEL
nuit	night	Nacht	Q575	https://www.wikidata.org/wiki/Q575	nuit	night	Nacht	DEL
observatoire	observatory	Observatorium	Q62832	https://www.wikidata.org/wiki/Q62832	observatoire	observatory	Observatorium	DEL
opéra	opera	Oper	Q1344	https://www.wikidata.org/wiki/Q1344	opéra	opera	Oper	DEL
oppression	oppression	Unterdrückung	Q252000	https://www.wikidata.org/wiki/Q252000	oppression	oppression	Unterdrückung	Seklit
optimisme	optimism	Optimismus	Q485446	https://www.wikidata.org/wiki/Q485446	optimisme	optimism	Optimismus	DEL
optique	optics	Optik	Q14620	https://www.wikidata.org/wiki/Q14620	optique	optics	Optik	DEL
organisation	organization	Organisation	Q43229	https://www.wikidata.org/wiki/Q43229	Organisation	organization	Organisation	DEL
Orient	Orient	Orient	Q205653	https://www.wikidata.org/wiki/Q205653	orient	orient	Orient	DEL
orientalisme	Orientalism	Orientalismus	Q42865	https://www.wikidata.org/wiki/Q42865	orientalisme	Orientalism	Orientalismus	DEL
originalité	originality	Originalität	Q2914681	https://www.wikidata.org/wiki/Q2914681	originalité	originality	Originalität	DEL
paix	peace	Frieden	Q454	https://www.wikidata.org/wiki/Q454	paix	peace	Frieden	DEL
pantomime	pantomime	Pantomime	Q13409536	https://www.wikidata.org/wiki/Q13409536	pantomime	pantomime	Englische Pantomime	DEL
parade	parade	Parade	Q657449	https://www.wikidata.org/wiki/Q657449	défilé	parade	Parade	DEL
paradis	paradise	Paradies	Q3363340	https://www.wikidata.org/wiki/Q3363340	paradis	paradise	Paradies	Seklit
paradoxe	paradox	Paradoxon	Q483372	https://www.wikidata.org/wiki/Q483372	paradoxe	paradox	Paradoxon	DEL
parodie	parody	Parodie	Q170539	https://www.wikidata.org/wiki/Q170539	parodie	parody	Parodie	DEL
passion	passion	Leidenschaft	Q335046	https://www.wikidata.org/wiki/Q335046	Passion	passion	Leidenschaft	DEL
pastorale en littérature	pastorale in litterature	Pastorale in der Literatur						BGRF
patriotisme	patriotism	Patriotismus	Q6241	https://www.wikidata.org/wiki/Q6241	patriotisme	patriotism	Patriotismus	DEL
paysage	landscape	Landschaft	Q107425	https://www.wikidata.org/wiki/Q107425	paysage	landscape	Landschaft	DEL
paysannerie	farming community	Bauernschaft	Q838811	https://www.wikidata.org/wiki/Q838811	paysannerie	farmer	Landarbeiter	DEL
péché	sin	Sünde	Q60227	https://www.wikidata.org/wiki/Q60227	péché	sin	Sünde	Seklit
pédagogie	pedagogy	Pädagogik	Q7922	https://www.wikidata.org/wiki/Q7922	pédagogie	pedagogy	Pädagogik	DEL
peinture	painting	Gemälde	Q3305213	https://www.wikidata.org/wiki/Q3305213	peinture	painting	Gemälde	DEL
perfectibilité	perfection	Vollkommenheit	Q378701	https://www.wikidata.org/wiki/Q378701	perfection	perfection	Vollkommenheit	DEL
persécution	persecution	Verfolgung	Q851824	https://www.wikidata.org/wiki/Q851824	persécution	persecution	Verfolgung	Seklit
personnalité	personality	Persönlichkeit	Q641118	https://www.wikidata.org/wiki/Q641118	personnalité	personality	Persönlichkeit	Seklit
perspective	perspective	Perspektive	Q1900281	https://www.wikidata.org/wiki/Q1900281	perspective	perspective	Perspektive	DEL
pessimisme	pessimism	Pessimismus	Q484954	https://www.wikidata.org/wiki/Q484954	pessimisme	pessimism	Pessimismus	DEL
pessimisme culturel	cultural pessimism	Kulturpessimismus	Q629509	https://www.wikidata.org/wiki/Q629509		cultural pessimism	Kulturpessimismus	Seklit
peuple	people	Volk	Q2472587	https://www.wikidata.org/wiki/Q2472587	peuple	people	Volk	DEL
philosophie	philosophy	Philosophie	Q5891	https://www.wikidata.org/wiki/Q5891	philosophie	philosophy	Philosophie	DEL
physiognomonie	physiognomy	Physiognomie	Q841933	https://www.wikidata.org/wiki/Q841933	physiognomonie	physiognomy	Physiognomie	DEL
physiologie	physiology	Physiologie	Q521	https://www.wikidata.org/wiki/Q521	physiologie	physiology	Physiologie	DEL
physique expérimentale	experimental physics	Experimentalphysik	Q18366	https://www.wikidata.org/wiki/Q18366	physique expérimentale	Experimental physics	Experimentalphysik	DEL
piétisme	pietism	Pietismus	Q193664	https://www.wikidata.org/wiki/Q193664	piétisme	Pietism	Pietismus	DEL
pittoresque	picturesque	Pittoreske	Q1627825	https://www.wikidata.org/wiki/Q1627825	pittoresque	picturesque	Picturesque	DEL
poésie	poetry	Poesie	Q482	https://www.wikidata.org/wiki/Q482	poésie	poetry	Poesie	DEL
police	police	Polizei	Q35535	https://www.wikidata.org/wiki/Q35535	police	police	Polizei	DEL
politesse	politeness	Höflichkeit	Q281287	https://www.wikidata.org/wiki/Q281287	politesse	politeness	Höflichkeit	Seklit
politique	politics	Politik	Q7163	https://www.wikidata.org/wiki/Q7163	politique	politics	Politik	Seklit
Pologne	Poland	Polen	Q36	https://www.wikidata.org/wiki/Q36	Pologne	Poland	Polen	DEL
port	port	Hafen	Q44782	https://www.wikidata.org/wiki/Q44782	Port	port	Hafen	DEL
portrait	portrait	Porträt	Q134307	https://www.wikidata.org/wiki/Q134307	portrait	portrait	Porträt	DEL
Portugal	Portugal	Portugal	Q45	https://www.wikidata.org/wiki/Q45	Portugal	Portugal	Portugal	DEL
pouvoir	power	Macht	Q25107	https://www.wikidata.org/wiki/Q25107	pouvoir	power	Macht	DEL
préjugé	prejudice	Vorurteil	Q179742	https://www.wikidata.org/wiki/Q179742	préjugé	prejudice	Vorurteil	DEL
prison	prison	Gefängnis	Q40357	https://www.wikidata.org/wiki/Q40357	prison	prison	Gefängnis	DEL
probabilié	probability	Wahrscheinlichkeit	Q9492	https://www.wikidata.org/wiki/Q9492	probabilié	probability	Wahrscheinlichkeit	DEL
problème	problem	Problem	Q621184	https://www.wikidata.org/wiki/Q621184	problème	problem	Problem	Seklit
progrès	progress	Fortschritt	Q247792	https://www.wikidata.org/wiki/Q247792	progrès	progress	Fortschritt	DEL
propriété	property	Eigentum	Q1400881	https://www.wikidata.org/wiki/Q1400881	propriété	property	Eigentum	DEL
protestantisme	protestanism	Protestantismus	Q23540	https://www.wikidata.org/wiki/Q23540	protestanisme	Protestanism	Protestantismus	DEL
proverbe	proverb	Sprichwort	Q35102	https://www.wikidata.org/wiki/Q35102	proverbe	proverb	Sprichwort	DEL
providence	providence	Vorsehung	Q866338	https://www.wikidata.org/wiki/Q866338	providence	providence	Vorsehung	DEL
Querelle des Anciens et des Modernes	Quarrel of the Ancients and the Moderns	Querelle des Anciens et des Modernes	Q267863	https://www.wikidata.org/wiki/Q267863	Querelle des Anciens et des Modernes	Quarrel of the Ancients and the Moderns	Querelle des Anciens et des Modernes	DEL
raison	reason	Vernunft	Q178354	https://www.wikidata.org/wiki/Q178354	raison	reason	Vernunft	DEL
réalité	reality	Realität	Q9510	https://www.wikidata.org/wiki/Q9510	réalité	reality	Realität	Seklit
réforme	reform	Reform	Q900406	https://www.wikidata.org/wiki/Q900406	réforme	reform	Reform	Seklit
relation amoureuse	romantic relationship	Liebesbeziehung	Q1189047	https://www.wikidata.org/wiki/Q1189047	romantic love	relation amoureuse	Liebesbeziehung	Topic Modeling
relativisme	relativism	Relativismus	Q83188	https://www.wikidata.org/wiki/Q83188	relativisme	relativism	Relativismus	Seklit
religion	religion	Religion	Q9174	https://www.wikidata.org/wiki/Q9174	religion	religion	Religion	DEL
République des Lettres	Republic of Letters	Res publica literaria	Q449359	https://www.wikidata.org/wiki/Q449359	République des Lettres	Republic of Letters	Res publica literaria	DEL
rêve	dream	Traum	Q36348	https://www.wikidata.org/wiki/Q36348	rêve	dream	Traum	DEL
révolution	revolution	Revolution	Q10931	https://www.wikidata.org/wiki/Q10931	révolution	revolution	Revolution	DEL
rhétorique	rhetoric	Rhetorik	Q81009	https://www.wikidata.org/wiki/Q81009	rhétorique	rhetoric	Rhetorik	DEL
richesse	wealth	Reichtum	Q200535	https://www.wikidata.org/wiki/Q200535	wealth	richesse	Reichtum	Topic Modeling
rire	laughter	Lachen	Q170579	https://www.wikidata.org/wiki/Q170579	rire	laughter	Lachen	DEL
rivalité	rivalry	Rivalität	Q1139327	https://www.wikidata.org/wiki/Q1139327	rivalité	rivalry	Rivalität	Seklit
Rococo	Rococo	Rokoko	Q122960	https://www.wikidata.org/wiki/Q122960	Rococo	Rococo	Rokoko	DEL
rôle de genre	gender role	Geschlechterrolle	Q2672163	https://www.wikidata.org/wiki/Q2672163	rôle de genre	gender role	Geschlechterrolle	Seklit
roman	novel	Roman	Q8261	https://www.wikidata.org/wiki/Q8261	roman	novel	Roman	DEL
roman noir	novel noir	Roman noir	Q1940294	https://www.wikidata.org/wiki/Q1940294	roman noir	Novel noir	Roman noir	DEL
ruine	ruin	Ruine	Q109607	https://www.wikidata.org/wiki/Q109607	ruine	ruins	Ruine	DEL
rumeur	rumor	Gerücht	Q878352	https://www.wikidata.org/wiki/Q878352	rumeur	rumor	Gerücht	DEL
Russie	Russia	Russland	Q159	https://www.wikidata.org/wiki/Q159	Russie	Russia	Russland	DEL
sadisme	sadism	Sadismus	Q5507613	https://www.wikidata.org/wiki/Q5507613	sadisme	sexual sadism disorder	Sadismus	Seklit
Saint-Empire romain germanique	Holy Roman Empire	Heiliges Römisches Reich	Q12548	https://www.wikidata.org/wiki/Q12548	Saint-Empire romain germanique	Holy Roman Empire	Heiliges Römisches Reich	DEL
salon	salon	Salon	Q576342	https://www.wikidata.org/wiki/Q576342	salon	salon	literarischer Salon	DEL
satire	satire	Satire	Q128758	https://www.wikidata.org/wiki/Q128758	satire	satire	Satire	DEL
scepticisme	skepticism	Skeptizismus	Q1395219	https://www.wikidata.org/wiki/Q1395219	scepticisme	skepticism	Skeptizismus	DEL
science	science	Wissenschaft	Q336	https://www.wikidata.org/wiki/Q336	science	science	Wissenschaft	DEL
sculpture	sculpture	Skulptur	Q860861	https://www.wikidata.org/wiki/Q860861	sculpture	sculpture	Skulptur	DEL
séduction	seduction	Verführung	Q1527023	https://www.wikidata.org/wiki/Q1527023	séduction	seduction	Verführung	Seklit
sensibilité	sensibility	Empfindsamkeit	Q1195509	https://www.wikidata.org/wiki/Q1195509	sensibilité	sensibility	Sinnlichkeit	DEL
sensualisme	sensualism	Sensualismus	Q651205	https://www.wikidata.org/wiki/Q651205	sensualisme	sensualism	Sensualismus	DEL
sentiment	sentiment	Gefühl	Q205555	https://www.wikidata.org/wiki/Q205555	feeling	sentiment	Gefühl	Topic Modeling
sexualité	sexuality	Sexualität	Q4042967	https://www.wikidata.org/wiki/Q4042967	sexualité	sexuality	Sexualität	DEL
sociabilité	sociability	Soziabilität	Q366435	https://www.wikidata.org/wiki/Q366435	sociabilité	sociability	Soziabilität	DEL
société	society	Gesellschaft	Q8425	https://www.wikidata.org/wiki/Q8425	société	society	Gesellschaft	Seklit
soldat	soldier	Soldat	Q4991371	https://www.wikidata.org/wiki/Q4991371	soldat	soldier	Soldat	DEL
solitude	loneliness	Einsamkeit	Q223270	https://www.wikidata.org/wiki/Q223270	solitude	loneliness	Einsamkeit	Seklit
sorcellerie	witchcraft	Hexerei	Q259745	https://www.wikidata.org/wiki/Q259745	sorcellerie	witchcraft	Zauberei	DEL
souffrance	suffering	Leiden	Q5780945	https://www.wikidata.org/wiki/Q5780945	souffrance	suffering	Leid	Seklit
statistique	statistics	Statistik	Q12483	https://www.wikidata.org/wiki/Q12483	statistique	statistics	Statistik	DEL
sublime	sublime	Erhabene	Q999803	https://www.wikidata.org/wiki/Q999803	sublime	sublime	Das Erhabene	DEL
Suède	Sweden	Schweden	Q34	https://www.wikidata.org/wiki/Q34	Suède	Sweden	Schweden	DEL
suicide	suicide	Suizid	Q10737	https://www.wikidata.org/wiki/Q10737	suicide	suicide	Suizid	Seklit
Suisse	Switzerland	Schweiz	Q39	https://www.wikidata.org/wiki/Q39	Suisse	Switzerland	Schweiz	DEL
superstition	superstition	Aberglaube	Q133182	https://www.wikidata.org/wiki/Q133182	superstition	superstition	Aberglaube	Seklit
système solaire	solar system	Sonnensystem	Q544	https://www.wikidata.org/wiki/Q544	système solaire	Solar system	Sonnensystem	DEL
technique	technique	Technik	Q2695280	https://www.wikidata.org/wiki/Q2695280	Technique	Technique	Technik	DEL
temps	time	Zeit	Q11471	https://www.wikidata.org/wiki/Q11471	temps	time	Zeit	DEL
terre	earth	Erde	Q2	https://www.wikidata.org/wiki/Q2	Terre	Earth	Erde	DEL
terreur	terror	Terror	Q13648784	https://www.wikidata.org/wiki/Q13648784	terreur	terror	Terror	DEL
théâtre	theater	Theater	Q11635	https://www.wikidata.org/wiki/Q11635	théâtre	theater	Theater	DEL
Théodicée	theodicy	Theodizee	Q276183	https://www.wikidata.org/wiki/Q276183	Théodicée	theodicy	Theodizee	DEL
théologie	theology	Theologie	Q34178	https://www.wikidata.org/wiki/Q34178	théologie	theology	Theologie	DEL
tolérance	toleration	Toleranz	Q183225	https://www.wikidata.org/wiki/Q183225	tolérance	Toleration	Toleranz	DEL
tradition	tradition	Tradition	Q82821	https://www.wikidata.org/wiki/Q82821	Tradition	tradition	Tradition	DEL
traduction	translation	Übersetzung	Q7553	https://www.wikidata.org/wiki/Q7553	Traduction	translation	Übersetzung	DEL
tragédie	tragedy	Tragödie	Q80930	https://www.wikidata.org/wiki/Q80930	tragédie	tragedy	Tragödie	DEL
transport	transport	Transport	Q7590	https://www.wikidata.org/wiki/Q7590	transport	transport	Verkehr	DEL
travail	work	Arbeit	Q6958747	https://www.wikidata.org/wiki/Q6958747	Travail	work	Arbeit	DEL
troubadour	troubadour	Troubadour	Q186370	https://www.wikidata.org/wiki/Q186370	troubadour	troubadour	Troubadour	BGRF
tyrannie	tyranny	Tyrannei	Q22082330	https://www.wikidata.org/wiki/Q22082330	tyrannie	tyranny	Tyrannei	Seklit
universaux	universality	Universalismus	Q875797	https://www.wikidata.org/wiki/Q875797	universaux	universality	Universalismus	Seklit
urbanisme	urbanism	Urbanistik	Q59950	https://www.wikidata.org/wiki/Q59950	Urbanisme	urbanism	Urbanistik	DEL
utilitarisme	utilitarianism	Utilitarismus	Q160590	https://www.wikidata.org/wiki/Q160590	utilitarisme	utilitarianism	Utilitarismus	DEL
utopie	utopia	Utopie	Q131156	https://www.wikidata.org/wiki/Q131156	utopie	utopia	Utopie	DEL
valeur	value	Wertvorstellung	Q194112	https://www.wikidata.org/wiki/Q194112	valeur	value	Wertvorstellung	Seklit
vanité	vanity	Eitelkeit	Q1321250	https://www.wikidata.org/wiki/Q1321250	vanité	vanity	Eitelkeit	Seklit
vérité	truth	Wahrheit	Q7949	https://www.wikidata.org/wiki/Q7949	vérité	truth	Wahrheit	Seklit
vertu	virtue	Tugend	Q157811	https://www.wikidata.org/wiki/Q157811	vertu	virtue	Tugend	DEL
vie quotidienne	everyday life	Alltag	Q1129653	https://www.wikidata.org/wiki/Q1129653	vie quotidienne	everyday life	Alltag	Seklit
village	village	Dorf	Q532	https://www.wikidata.org/wiki/Q532	village	village	Dorf	DEL
ville	city	Stadt	Q515	https://www.wikidata.org/wiki/Q515	ville	city	Stadt	DEL
violence	violence	Gewalt	Q124490	https://www.wikidata.org/wiki/Q124490	violence	violence	Gewalt	Seklit
volcanisme	volcano	Vulkanismus	Q505748	https://www.wikidata.org/wiki/Q505748	volcan	volcano	Vulkanismus	DEL
volonté	will	Wille	Q364340	https://www.wikidata.org/wiki/Q364340	volonté	will	Wille	Seklit
voyage	travel	Reise	Q61509	https://www.wikidata.org/wiki/Q61509	voyage	travel	Reise	DEL
zoologie	zoology	Zoologie	Q431	https://www.wikidata.org/wiki/Q431	zoologie	zoology	Zoologie	DEL
