DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (de)	Wikidata Label (en)
"Chanson "	Q7366	https://www.wikidata.org/wiki/Q7366	chanson	Lied	song
"Chimie "	Q2329	https://www.wikidata.org/wiki/Q2329	Chimie	Chemie	chemistry
"Chine "	Q29520	https://www.wikidata.org/wiki/Q29520	chine	China	china
"Chirurgie "	Q40821	https://www.wikidata.org/wiki/Q40821	Chirurgie	Chirurgie	surgery
"citoyenneté "	Q42138	https://www.wikidata.org/wiki/Q42138	"citoyenneté "	Staatsbürgerschaft	citizenship
Civilisation	Q8432	https://www.wikidata.org/wiki/Q8432	Civilisation	Zivilisation	civilization
Classe sociale	Q187588	https://www.wikidata.org/wiki/Q187588	Classe sociale	soziale Klasse	social class
Classicisme	Q170292	https://www.wikidata.org/wiki/Q170292	classicisme	Klassizismus	"classicism "
"Classification "	Q13582682	https://www.wikidata.org/wiki/Q13582682		Klassifizierung	Classific
Clergé	Q177826	https://www.wikidata.org/wiki/Q177826	Clergé	Klerus	clergy
"curiosité "	Q7167	https://www.wikidata.org/wiki/Q366791	curiosité	Kolonialismus	curiosity
Colonialisme	Q7167	https://www.wikidata.org/wiki/Q7167	Colonialisme	Kolonialismus	colonialism
colportage	Q154273	https://www.wikidata.org/wiki/Q154273	colportage	Kolportage	colportage
"Comédie "	Q40831	https://www.wikidata.org/wiki/Q40831	Comédie	Komödie	comedy
"Commedia dell'arte "	Q191890	https://www.wikidata.org/wiki/Q191890	Commedia dell'arte	Commedia dell’arte	Commedia dell'arte
"Commerce "	Q26643	https://www.wikidata.org/wiki/Q26643	Commerce	Kommerz	commerce
village	Q532	https://www.wikidata.org/wiki/Q532	village	Dorf	village
"Confrérie "	Q992253	https://www.wikidata.org/wiki/Q992253	confrérie	Bruderschaft	confraternity
"Conte "	Q7679101	https://www.wikidata.org/wiki/Q7679101	Conte	Conte	conte
"Contrat social "	Q1326430	https://www.wikidata.org/wiki/Q1326430	contrat coscial	Sozialvertrag	social contract
"Contre-Révolution "	Q755138	https://www.wikidata.org/wiki/Q755138	Contre-révolution	Konterrevolution	counter-revolution
"Conversation "	Q52943	https://www.wikidata.org/wiki/Q52943	conversation	Konversation	conversation
