DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (de)	Wikidata Label (en)
salon	Q576342	https://www.wikidata.org/wiki/Q576342	salon	literarischer Salon	salon
"satire "	Q128758	https://www.wikidata.org/wiki/Q128758	satire	Satire	satire
"science "	Q336	https://www.wikidata.org/wiki/Q336	science	Wissenschaft	science
"sculpture "	Q860861	https://www.wikidata.org/wiki/Q860861	sculpture	Skulptur	sculpture
"sensibilité "	Q1195509	https://www.wikidata.org/wiki/Q1195509	"sensibilité "	Sinnlichkeit	sensibility
"sensualisme "	Q651205	https://www.wikidata.org/wiki/Q651205	sensualisme	Sensualismus	sensualism
sexualité	Q4042967	https://www.wikidata.org/wiki/Q4042967	sexualité	Sexualität	sexuality
sociabilité	Q366435	https://www.wikidata.org/wiki/Q366435	sociabilité	Soziabilität	sociability
"soldat "	Q4991371	https://www.wikidata.org/wiki/Q4991371	soldat	Soldat	soldier
"système solaire "	Q544	https://www.wikidata.org/wiki/Q544	"système solaire "	Sonnensystem	Solar system
"sorcellerie "	Q259745	https://www.wikidata.org/wiki/Q259745	sorcellerie	Zauberei	witchcraft
statistique	Q12483	https://www.wikidata.org/wiki/Q12483	statistique	Statistik	statistics
"sublime "	Q999803	https://www.wikidata.org/wiki/Q999803	sublime	Das Erhabene	sublime
"Suède "	Q34	https://www.wikidata.org/wiki/Q34	"Suède "	Schweden	Sweden
"Suisse "	Q39	https://www.wikidata.org/wiki/Q39	Suisse	Schweiz	Switzerland
"technique "	Q2695280	https://www.wikidata.org/wiki/Q2695280	"Technique "	Technik	"Technique "
terre	Q2	https://www.wikidata.org/wiki/Q2	Terre	Erde	Earth
terreur	Q13648784	https://www.wikidata.org/wiki/Q13648784	terreur	Terror	terror
théâtre	Q11635	https://www.wikidata.org/wiki/Q11635	théâtre	Theater	theater
"théologie "	Q34178	https://www.wikidata.org/wiki/Q34178	"théologie "	Theologie	theology
"tolérance "	Q183225	https://www.wikidata.org/wiki/Q183225	"tolérance "	Toleranz	Toleration
"tradition "	Q82821	https://www.wikidata.org/wiki/Q82821	Tradition	Tradition	tradition
"traduction "	Q7553	https://www.wikidata.org/wiki/Q7553	Traduction	Übersetzung	translation
"tragédie "	Q80930	https://www.wikidata.org/wiki/Q80930	"tragédie "	Tragödie	tragedy
"transport "	Q7590	https://www.wikidata.org/wiki/Q7590	transport	Verkehr	transport
"travail "	Q6958747	https://www.wikidata.org/wiki/Q6958747	Travail	Arbeit	work
"urbanisme "	Q59950	https://www.wikidata.org/wiki/Q59950	Urbanisme	Urbanistik	urbanism
utilitarisme	Q160590	https://www.wikidata.org/wiki/Q160590	utilitarisme	Utilitarismus	utilitarianisme
"utopie "	Q131156	https://www.wikidata.org/wiki/Q131156	utopie	Utopie	utopia
"vertu "	Q157811	https://www.wikidata.org/wiki/Q157811	vertu	Tugend	virtue
ville	Q515	https://www.wikidata.org/wiki/Q515	ville	Stadt	city
volcanisme	Q505748	https://www.wikidata.org/wiki/Q505748	volcan	Vulkanismus	volcano
voyage	Q61509	https://www.wikidata.org/wiki/Q61509	voyage	Reise	travel
zoologie	Q431	https://www.wikidata.org/wiki/Q431	zoologie	Zoologie	zoology
richesse	Q200535	https://www.wikidata.org/wiki/Q200535	wealth	Reichtum	richesse
destin	Q216774	https://www.wikidata.org/wiki/Q216774	destin	Schicksal	destiny
monarchie	Q7269	https://www.wikidata.org/wiki/Q7269	monarchy	Monarchie	monarchie
relation amoureuse	Q1189047	https://www.wikidata.org/wiki/Q1189047	romantic love	Liebesbeziehung	"relation amoureuse "
sentiment	Q205555	https://www.wikidata.org/wiki/Q205555	feeling	Gefühl	sentiment
Locus amoenus	Q739317	https://www.wikidata.org/wiki/Q739317	"Locus amoenus "	Locus amoenus	"Locus amoenus "
enfance	Q276258	https://www.wikidata.org/wiki/Q276258	"childhood "	Kindheit	enfance
interaction	Q52948	https://www.wikidata.org/wiki/Q52948	interaction	Interaktion	interaction
