				P8	P52	P59	FR	EN	DE						P25	P2	P2RP14
Piémont	Piedmont	Piemont	Q1216	https://www.wikidata.org/wiki/Q1216		45.25,7.9166666666667	Piémont	Piedmont	Piemont								
Nantes	Nantes	Nantes	Q12191	https://www.wikidata.org/wiki/Q12191		47.217222222222,-1.5538888888889	Nantes	Nantes	Nantes								
Brest	Brest	Brest	Q12193	https://www.wikidata.org/wiki/Q12193		48.39,-4.4869444444444	Brest	Brest	Brest								
Lignon	Lignon	Lignon	Q1219591	https://www.wikidata.org/wiki/Q1219591		48.585833333333,4.5311111111111	Lignon	Lignon	Lignon								
canal	canal	Kanal	Q12284	https://www.wikidata.org/wiki/Q12284			canal	canal	Kanal	DEL	exact match						
Hébrides	Hebrides	Hebriden	Q123377	https://www.wikidata.org/wiki/Q123377		57.833333333333,-7	Hébrides	Hebrides	Hebriden								
Midi de la France	Southern France	Südfrankreich	Q1237299	https://www.wikidata.org/wiki/Q1237299			Midi de la France	Southern France	Südfrankreich								
Pyrénées	Pyrenees	Pyrenäen	Q12431	https://www.wikidata.org/wiki/Q12431		42.666666666667,1	Pyrénées	Pyrenees	Pyrenäen								
Saint-Empire romain germanique	Holy Roman Empire	Heiliges Römisches Reich	Q12548	https://www.wikidata.org/wiki/Q12548			Saint-Empire romain germanique	Holy Roman Empire	Heiliges Römisches Reich	DEL	exact match						
Amérique latine	Latin America	Lateinamerika	Q12585	https://www.wikidata.org/wiki/Q12585		-1.106889,-68.097391	Amérique latine	Latin America	Lateinamerika	DEL	exact match						
Tanger	Tangier	Tanger	Q126148	https://www.wikidata.org/wiki/Q126148		35.776666666666664,-5.803888888888888	Tanger	Tangier	Tanger								
Antibes	Antibes	Antibes	Q126898	https://www.wikidata.org/wiki/Q126898		43.58,7.1230555555556	Antibes	Antibes	Antibes								
Savoie	Savoie	Savoie	Q12745	https://www.wikidata.org/wiki/Q12745		45.583333333333,6.3333333333333	Savoie	Savoie	Savoie								
Nouveau Monde	New World	Neue Welt	Q127834	https://www.wikidata.org/wiki/Q127834			Nouveau Monde	New World	Neue Welt								
Vendée	Vendée	Département Vendée	Q12798	https://www.wikidata.org/wiki/Q12798		46.670556,-1.426667	Vendée	Vendée	Département Vendée								
Lesbos	Lesbos	Lesbos	Q128087	https://www.wikidata.org/wiki/Q128087		39.21,26.28	Lesbos	Lesbos	Lesbos								
Asie mineure	Asia Minor	Kleinasien	Q12824780	https://www.wikidata.org/wiki/Q12824780		39,34	Asie mineure	Asia Minor	Kleinasien								
Alpes	Alps	Alpen	Q1286	https://www.wikidata.org/wiki/Q1286		46,1	Alpes	Alps	Alpen								
Grenoble	Grenoble	Grenoble	Q1289	https://www.wikidata.org/wiki/Q1289		45.186944444444,5.7263888888889	Grenoble	Grenoble	Grenoble								
Anvers	Antwerp	Antwerpen	Q12892	https://www.wikidata.org/wiki/Q12892		51.221111111111114,4.3997222222222225	Anvers	Antwerp	Antwerpen								
Persépolis	Persepolis	Persepolis	Q129072	https://www.wikidata.org/wiki/Q129072		29.934444444444,52.891388888889	Persépolis	Persepolis	Persepolis								
Chartres	Chartres	Chartres	Q130272	https://www.wikidata.org/wiki/Q130272		48.446666666667,1.4883333333333	Chartres	Chartres	Chartres								
Arras	Arras	Arras	Q131329	https://www.wikidata.org/wiki/Q131329		50.289166666667,2.78	Arras	Arras	Arras								
Orénoque	Orinoco	Orinoco	Q131792	https://www.wikidata.org/wiki/Q131792		8.56,-60.5	Orénoque	Orinoco	Orinoco								
Scythes	Scythians	Skythen	Q131802	https://www.wikidata.org/wiki/Q131802			Scythes	Scythians	Skythen								
Bactriane	Bactria	Baktrien	Q132646	https://www.wikidata.org/wiki/Q132646		36.758056,66.898889	Bactriane	Bactria	Baktrien								
Philadelphie	Philadelphia	Philadelphia	Q1345	https://www.wikidata.org/wiki/Q1345		39.952777777778,-75.163611111111	Philadelphie	Philadelphia	Philadelphia								
Alix	Alix	Alix	Q1364465	https://www.wikidata.org/wiki/Q1364465		45.912777777778,4.6541666666667	Alix	Alix	Alix								
Syracuse	Syracuse	Syrakus	Q13670	https://www.wikidata.org/wiki/Q13670		37.069166666667,15.2875	Syracuse	Syracuse	Syrakus								
Virginie	Virginia	Virginia	Q1370	https://www.wikidata.org/wiki/Q1370		37.5,-79	Virginie	Virginia	Virginia								
Smyrne	Smyrna		Q1379299	https://www.wikidata.org/wiki/Q1379299		38.423889,27.142778	Smyrne	Smyrna									
Maryland	Maryland	Maryland	Q1391	https://www.wikidata.org/wiki/Q1391		39,-76.7	Maryland	Maryland	Maryland								
Île-de-France	Île-de-France	Île-de-France	Q13917	https://www.wikidata.org/wiki/Q13917		48.8522,2.3176	Île-de-France	Île-de-France	Île-de-France								
Picardie	Picardy	Picardie	Q13950	https://www.wikidata.org/wiki/Q13950		49.5,2.8333333333333	Picardie	Picardy	Picardie								
Circassie	Circassia	Tscherkessien	Q1408764	https://www.wikidata.org/wiki/Q1408764		43.585278,39.720278	Circassie	Circassia	Tscherkessien								
