				P8	P52	P59	FR	EN	DE						P25	P2	P2RP14
foire	fair	Jahrmarkt	Q288514	https://www.wikidata.org/wiki/Q288514			foire	fair	Jahrmarkt	DEL	exact match						
Espagne	Spain	Spanien	Q29	https://www.wikidata.org/wiki/Q29		40.2,-3.5	Espagne	Spain	Spanien	BGRF/DEL	exact match						
château de Versailles	Palace of Versailles	Schloss Versailles	Q2946	https://www.wikidata.org/wiki/Q2946		48.804805555556,2.1203333333333	château de Versailles	Palace of Versailles	Schloss Versailles								
Chine	China	China	Q29520	https://www.wikidata.org/wiki/Q29520		35,105	Chine	China	China	DEL	exact match						
États-Unis	United States of America	Vereinigte Staaten	Q30	https://www.wikidata.org/wiki/Q30		39.828175,-98.5795	États-Unis	United States of America	Vereinigte Staaten								
café	coffeehouse	Café	Q30022	https://www.wikidata.org/wiki/Q30022			café	coffeehouse	Café	DEL	exact match						
vestibule	vestibule	Vestibül	Q301276	https://www.wikidata.org/wiki/Q301276			vestibule	vestibule	Vestibül								
domaine de Villarceaux	Domaine of Villarceaux	Domaine de Villarceaux	Q3034560	https://www.wikidata.org/wiki/Q3034560		49.123055555556,1.7058333333333	domaine de Villarceaux	Domaine of Villarceaux	Domaine de Villarceaux								
Pagus de Brabant	Brabant	Brabant	Q3051218	https://www.wikidata.org/wiki/Q3051218		50.75,3.99	Pagus de Brabant	Brabant	Brabant								
Mercure	Mercury	Merkur	Q308	https://www.wikidata.org/wiki/Q308			Mercure	Mercury	Merkur								
Rouen	Rouen	Rouen	Q30974	https://www.wikidata.org/wiki/Q30974		49.443055555556,1.1025	Rouen	Rouen	Rouen								
Vénus	Venus	Venus	Q313	https://www.wikidata.org/wiki/Q313			Vénus	Venus	Venus								
Jupiter	Jupiter	Jupiter	Q319	https://www.wikidata.org/wiki/Q319			Jupiter	Jupiter	Jupiter								
Arabie	Arabian Peninsula	Arabische Halbinsel	Q31945	https://www.wikidata.org/wiki/Q31945		23,46	Arabie	Arabian Peninsula	Arabische Halbinsel								
Üsküdar	Üsküdar	Üsküdar	Q326339	https://www.wikidata.org/wiki/Q326339		41.01666667,29.01666667	Üsküdar	Üsküdar	Üsküdar								
Palais-Royal	Palais-Royal	Palais-Royal	Q329948	https://www.wikidata.org/wiki/Q329948		48.863333333333,2.3369444444444	Palais-Royal	Palais-Royal	Palais-Royal								
musée	museum	Museum	Q33506	https://www.wikidata.org/wiki/Q33506			musée	museum	Museum	DEL	exact match						
paradis	paradise	Paradies	Q3363340	https://www.wikidata.org/wiki/Q3363340			paradis	paradise	Paradies	Seklit	exact match						
Suède	Sweden	Schweden	Q34	https://www.wikidata.org/wiki/Q34		61,15	Suède	Sweden	Schweden	DEL	exact match						
civilisation inca	Inca civilization	Inka	Q3404008	https://www.wikidata.org/wiki/Q3404008			civilisation inca	Inca civilization	Inka								
Sirius	Sirius	Sirius	Q3409	https://www.wikidata.org/wiki/Q3409			Sirius	Sirius	Sirius								
Rotterdam	Rotterdam	Rotterdam	Q34370	https://www.wikidata.org/wiki/Q34370		51.9225,4.47917	Rotterdam	Rotterdam	Rotterdam								
Crète	Crete	Kreta	Q34374	https://www.wikidata.org/wiki/Q34374		35.309722222222,24.893333333333	Crète	Crete	Kreta								
Danemark	Denmark	Dänemark	Q35	https://www.wikidata.org/wiki/Q35		56,1	Danemark	Denmark	Dänemark	DEL	exact match						
Cambridge	Cambridge	Cambridge	Q350	https://www.wikidata.org/wiki/Q350		52.208055555556,0.1225	Cambridge	Cambridge	Cambridge								
Colombo	Colombo	Colombo	Q35381	https://www.wikidata.org/wiki/Q35381		6.9166666666667,79.833333333333	Colombo	Colombo	Colombo								
Niger	Niger River	Niger	Q3542	https://www.wikidata.org/wiki/Q3542		9.0822,-10.7233	Niger	Niger River	Niger								
Alger	Algiers	Algier	Q3561	https://www.wikidata.org/wiki/Q3561		36.776388888889,3.0586111111111	Alger	Algiers	Algier								
Tunis	Tunis	Tunis	Q3572	https://www.wikidata.org/wiki/Q3572		36.800833333333,10.18	Tunis	Tunis	Tunis								
Bourgogne	Burgundy	Burgund	Q357201	https://www.wikidata.org/wiki/Q357201			Bourgogne	Burgundy	Burgund								
Zéphyre	Zéphire		Q3576516	https://www.wikidata.org/wiki/Q3576516			Zéphyre	Zéphire									
Pologne	Poland	Polen	Q36	https://www.wikidata.org/wiki/Q36		52,19	Pologne	Poland	Polen	DEL	exact match						
Cologne	Cologne	Köln	Q365	https://www.wikidata.org/wiki/Q365		50.942222222222,6.9577777777778	Cologne	Cologne	Köln								
La Haye	The Hague	Den Haag	Q36600	https://www.wikidata.org/wiki/Q36600		52.08,4.31	La Haye	The Hague	Den Haag								
Erford							Erford										
Taninges	Taninges	Taninges	Q369188	https://www.wikidata.org/wiki/Q369188		46.1075,6.5913888888889	Taninges	Taninges	Taninges								
Belgrade	Belgrade	Belgrad	Q3711	https://www.wikidata.org/wiki/Q3711		44.816666666667,20.466666666667	Belgrade	Belgrade	Belgrad								
Saint-Firmin	Saint-Firmin	Saint-Firmin	Q37180	https://www.wikidata.org/wiki/Q37180		47.043333333333,3.3916666666667	Saint-Firmin	Saint-Firmin	Saint-Firmin								
Perse	Persis	Persis	Q3746183	https://www.wikidata.org/wiki/Q3746183		30,52	Perse	Persis	Persis								
mer Ionienne	Ionian Sea	Ionisches Meer	Q37495	https://www.wikidata.org/wiki/Q37495		38,19	mer Ionienne	Ionian Sea	Ionisches Meer								
Java	Java	Java	Q3757	https://www.wikidata.org/wiki/Q3757		-7.4916666666667,110.00444444444	Java	Java	Java								
Damas	Damascus	Damaskus	Q3766	https://www.wikidata.org/wiki/Q3766		33.513055555556,36.291944444444	Damas	Damascus	Damaskus								
Besançon	Besançon	Besançon	Q37776	https://www.wikidata.org/wiki/Q37776		47.242222222222,6.0213888888889	Besançon	Besançon	Besançon								
Italie	Italy	Italien	Q38	https://www.wikidata.org/wiki/Q38		42.5,12.5	Italie	Italy	Italien	DEL	exact match						
Gaule	Gaul	Gallien	Q38060	https://www.wikidata.org/wiki/Q38060		46.5,2.9	Gaule	Gaul	Gallien								
Worms	Worms	Worms	Q3852	https://www.wikidata.org/wiki/Q3852		49.631944444444,8.3652777777778	Worms	Worms	Worms								
Morlaquie	Morlachia		Q3863033	https://www.wikidata.org/wiki/Q3863033			Morlaquie	Morlachia									
Prusse	Prussia	Preußen	Q38872	https://www.wikidata.org/wiki/Q38872			Prusse	Prussia	Preußen								
lieu imaginaire	imaginary place	imaginärer Ort	Q3895768		https://www.wikidata.org/wiki/Q3895768		lieu de fiction	fictional location	fiktiver Ort	BGRF	close match						
Suisse	Switzerland	Schweiz	Q39	https://www.wikidata.org/wiki/Q39		46.798562,8.231973	Suisse	Switzerland	Schweiz	DEL; BGRF	exact match						
Bohême	Bohemia	Böhmen	Q39193	https://www.wikidata.org/wiki/Q39193		49.833333333333,14.333333333333	Bohême	Bohemia	Böhmen								
Spa	Spa	Spa	Q39865	https://www.wikidata.org/wiki/Q39865		50.5,5.8666666666667	Spa	Spa	Spa								
Arménie	Armenia	Armenien	Q399	https://www.wikidata.org/wiki/Q399		40.383333,44.95	Arménie	Armenia	Armenien								
Liège	Liège	Lüttich	Q3992	https://www.wikidata.org/wiki/Q3992		50.639722222222225,5.570555555555556	Liège	Liège	Lüttich								
Autriche	Austria	Österreich	Q40	https://www.wikidata.org/wiki/Q40		48,14	Autriche	Austria	Österreich								
Ééa	Aeaea	Aiaia	Q403366	https://www.wikidata.org/wiki/Q403366			Ééa	Aeaea	Aiaia								
prison	prison	Gefängnis	Q40357	https://www.wikidata.org/wiki/Q40357			prison	prison	Gefängnis	BGRF/DEL	exact match						
Lune	Moon	Mond	Q405	https://www.wikidata.org/wiki/Q405			Lune	Moon	Mond	BGRF	exact match						
Nancy	Nancy	Nancy	Q40898	https://www.wikidata.org/wiki/Q40898		48.692777777778,6.1836111111111	Nancy	Nancy	Nancy								
cap de Bonne-Espérance	Cape of Good Hope	Kap der Guten Hoffnung	Q4092	https://www.wikidata.org/wiki/Q4092		-34.358055555556,18.471944444444	cap de Bonne-Espérance	Cape of Good Hope	Kap der Guten Hoffnung								
Grèce	Greece	Griechenland	Q41	https://www.wikidata.org/wiki/Q41		38.5,23	Grèce	Greece	Griechenland	BGRF	exact match						
Alep	Aleppo	Aleppo	Q41183	https://www.wikidata.org/wiki/Q41183		36.2,37.15	Alep	Aleppo	Aleppo								
Caen	Caen	Caen	Q41185	https://www.wikidata.org/wiki/Q41185		49.182222222222,-0.37055555555556	Caen	Caen	Caen								
Amiens	Amiens	Amiens	Q41604	https://www.wikidata.org/wiki/Q41604		49.891944444444,2.2977777777778	Amiens	Amiens	Amiens								
Phénicie	Phoenicia	Phönizien	Q41642	https://www.wikidata.org/wiki/Q41642		34.116667,35.65	Phénicie	Phoenicia	Phönizien								
Thrace	Thrace	Thrakien	Q41741	https://www.wikidata.org/wiki/Q41741		42,26	Thrace	Thrace	Thrakien								
Reims	Reims	Reims	Q41876	https://www.wikidata.org/wiki/Q41876		49.265277777778,4.0286111111111	Reims	Reims	Reims								
Pérou	Peru	Peru	Q419	https://www.wikidata.org/wiki/Q419		-9.4,-76	Pérou	Peru	Peru								
Tahiti	Tahiti	Tahiti	Q42000	https://www.wikidata.org/wiki/Q42000		-17.666666666667,-149.46666666667	Tahiti	Tahiti	Tahiti								
Forêt-Noire	Black Forest	Schwarzwald	Q4204	https://www.wikidata.org/wiki/Q4204		48.3,8.15	Forêt-Noire	Black Forest	Schwarzwald								
Ispahan	Isfahan	Isfahan	Q42053	https://www.wikidata.org/wiki/Q42053		32.644722222222,51.6675	Ispahan	Isfahan	Isfahan								
Turquie	Turkey	Türkei	Q43	https://www.wikidata.org/wiki/Q43		39,36	Turquie	Turkey	Türkei								
Rhodes	Rhodes	Rhodos	Q43048	https://www.wikidata.org/wiki/Q43048		36.166666666667,28	Rhodes	Rhodes	Rhodos								
Cachemire	Kashmir	Kaschmir	Q43100	https://www.wikidata.org/wiki/Q43100		34.5,76	Cachemire	Kashmir	Kaschmir								
monastère	monastery	Kloster	Q44613	https://www.wikidata.org/wiki/Q44613			monastère	monastery	Kloster	BGRF	exact match	couvent					
port	port	Hafen	Q44782	https://www.wikidata.org/wiki/Q44782			port	port	Hafen	DEL	exact match						
Portugal	Portugal	Portugal	Q45	https://www.wikidata.org/wiki/Q45		38.7,-9.1833333333333	Portugal	Portugal	Portugal	DEL	exact match						
Lyon	Lyon	Lyon	Q456	https://www.wikidata.org/wiki/Q456		45.758888888889,4.8413888888889	Lyon	Lyon	Lyon								
Europe	Europe	Europa	Q46	https://www.wikidata.org/wiki/Q46		48.690959,9.14062	Europe	Europe	Europa	BGRF/DEL	exact match						
coche	coach	Kutsche	Q4655519	https://www.wikidata.org/wiki/Q4655519			coche	coach	Kutsche	BGRF	exact match						
Amlach	Amlach	Amlach	Q472564	https://www.wikidata.org/wiki/Q472564		46.813333333333,12.761111111111	Amlach	Amlach	Amlach								
Aix-en-Provence	Aix-en-Provence	Aix-en-Provence	Q47465	https://www.wikidata.org/wiki/Q47465		43.527777777778,5.4455555555556	Aix-en-Provence	Aix-en-Provence	Aix-en-Provence								
Babylone	Babylonia	Babylonien	Q47690	https://www.wikidata.org/wiki/Q47690		32.5,44.5	Babylone	Babylonia	Babylonien								
Asie	Asia	Asien	Q48	https://www.wikidata.org/wiki/Q48		43.681111111111115,87.33111111111111	Asie	Asia	Asien								
Terre sainte	Holy Land	Heiliges Land	Q48175	https://www.wikidata.org/wiki/Q48175		31.778333333333332,35.22972222222222	Terre sainte	Holy Land	Heiliges Land								
Proche-Orient	Near East	Naher Osten	Q48214	https://www.wikidata.org/wiki/Q48214		32.8,35.6	Proche-Orient	Near East	Naher Osten	Seklit.	exact match						
Hyrcanie	Hyrcania	Hyrkanien	Q48726	https://www.wikidata.org/wiki/Q48726		36.967822,55.011854	Hyrcanie	Hyrcania	Hyrkanien								
Amérique du Nord	North America	Nordamerika	Q49	https://www.wikidata.org/wiki/Q49		47,-105	Amérique du Nord	North America	Nordamerika	DEL	exact match						
Milan	Milan	Mailand	Q490	https://www.wikidata.org/wiki/Q490		45.466944444444,9.19	Milan	Milan	Mailand								
mer Méditerranée	Mediterranean Sea	Mittelmeer	Q4918	https://www.wikidata.org/wiki/Q4918		38,17	mer Méditerranée	Mediterranean Sea	Mittelmeer								
Turin	Turin	Turin	Q495	https://www.wikidata.org/wiki/Q495		45.066666666667,7.7	Turin	Turin	Turin								
Noyon	Noyon	Noyon	Q49831	https://www.wikidata.org/wiki/Q49831		49.581111111111,2.9988888888889	Noyon	Noyon	Noyon								
Annecy	Annecy	Annecy	Q50189	https://www.wikidata.org/wiki/Q50189		45.899166666667,6.1294444444444	Annecy	Annecy	Annecy								
Cochinchine	Cochinchina	Cochinchina	Q505503	https://www.wikidata.org/wiki/Q505503			Cochinchine	Cochinchina	Cochinchina								
Gange	Ganges	Ganges	Q5089	https://www.wikidata.org/wiki/Q5089		22.0833,90.8333	Gange	Ganges	Ganges								
Gévaudan	Gévaudan	Gévaudan	Q514081	https://www.wikidata.org/wiki/Q514081		44.7,3.3	Gévaudan	Gévaudan	Gévaudan								
ville	city	Stadt	Q515	https://www.wikidata.org/wiki/Q515			ville	city	Stadt	DEL	exact match						
Soleil	Sun	Sonne	Q525	https://www.wikidata.org/wiki/Q525			Soleil	Sun	Sonne								
Minorque	Menorca	Menorca	Q52636	https://www.wikidata.org/wiki/Q52636		39.966666666667,4.0833333333333	Minorque	Menorca	Menorca								
village	village	Dorf	Q532	https://www.wikidata.org/wiki/Q532			village	village	Dorf	DEL	exact match						
Aiglemont	Aiglemont	Aiglemont	Q541738	https://www.wikidata.org/wiki/Q541738		49.781388888889,4.7658333333333	Aiglemont	Aiglemont	Aiglemont								
système solaire	Solar System	Sonnensystem	Q544	https://www.wikidata.org/wiki/Q544			système solaire	Solar System	Sonnensystem	DEL	exact match						
mer Baltique	Baltic Sea	Ostsee	Q545	https://www.wikidata.org/wiki/Q545		58,2	mer Baltique	Baltic Sea	Ostsee								
Le Cap	Cape Town	Kapstadt	Q5465	https://www.wikidata.org/wiki/Q5465		-33.925,18.425	Le Cap	Cape Town	Kapstadt								
Hollande	Netherlands	Niederlande	Q55	https://www.wikidata.org/wiki/Q55		52.316666666667,5.55	Pays-Bas	Netherlands	Niederlande	DEL	exact match						
enfer	hell	Hölle	Q564	https://www.wikidata.org/wiki/Q564			enfer	hell	Hölle	BGRF	exact match						
Sparte	Sparta	Sparta	Q5690	https://www.wikidata.org/wiki/Q5690		37.081944444444,22.423611111111	Sparte	Sparta	Sparta								
Memphis	Memphis	Memphis	Q5715	https://www.wikidata.org/wiki/Q5715		29.85412,31.25934	Memphis	Memphis	Memphis								
salon littéraire	salon	literarischer Salon	Q576342	https://www.wikidata.org/wiki/Q576342			salon littéraire	salon	literarischer Salon	DEL	exact match						
Îles Canaries	Canary Islands	Kanarische Inseln	Q5813	https://www.wikidata.org/wiki/Q5813		28.536,-15.749	Îles Canaries	Canary Islands	Kanarische Inseln								
Marville	Marville	Marville	Q59176	https://www.wikidata.org/wiki/Q59176		49.452222222222,5.4558333333333	Marville	Marville	Marville								
(1) Cérès	Ceres	(1) Ceres	Q596	https://www.wikidata.org/wiki/Q596			(1) Cérès	Ceres	(1) Ceres								
Lisbonne	Lisbon	Lissabon	Q597	https://www.wikidata.org/wiki/Q597		38.708042,-9.139016	Lisbonne	Lisbon	Lissabon								
Cieux	Cieux	Cieux	Q597576	https://www.wikidata.org/wiki/Q597576		45.991666666667,1.0452777777778	Cieux	Cieux	Cieux								
Courville	Courville	Courville	Q598449	https://www.wikidata.org/wiki/Q598449		49.267777777778,3.6972222222222	Courville	Courville	Courville								
New York	New York City	New York City	Q60	https://www.wikidata.org/wiki/Q60		40.712728,-74.006015	New York	New York City	New York City								
Rhône	Rhône	Rhone	Q602	https://www.wikidata.org/wiki/Q602		46.5742,8.3804	Rhône	Rhône	Rhone								
Padoue	Padua	Padua	Q617	https://www.wikidata.org/wiki/Q617		45.406388888889,11.877777777778	Padoue	Padua	Padua								
Wahlheim	Wahlheim	Wahlheim	Q617386	https://www.wikidata.org/wiki/Q617386		49.717777777778,8.1061111111111	Wahlheim	Wahlheim	Wahlheim								
Lydie	Lydia	Lydien	Q620765	https://www.wikidata.org/wiki/Q620765		40,3	Lydie	Lydia	Lydien								
Versailles	Versailles	Versailles	Q621	https://www.wikidata.org/wiki/Q621		48.804722222222,2.1341666666667	Versailles	Versailles	Versailles								
boudoir	boudoir	Boudoir	Q62238	https://www.wikidata.org/wiki/Q62238			boudoir	boudoir	Boudoir	DEL	exact match						
pays	country	Land	Q6256	https://www.wikidata.org/wiki/Q6256			pays	country	Land								
Germanie	Germania	Germania magna	Q62646	https://www.wikidata.org/wiki/Q62646		50.9,11.1	Germanie	Germania	Germania magna								
Cévennes	Cévennes	Cevennen	Q626655	https://www.wikidata.org/wiki/Q626655		44.42623611,3.73926389	Cévennes	Cévennes	Cevennen								
Bergame	Bergamo	Bergamo	Q628	https://www.wikidata.org/wiki/Q628		45.695,9.67	Bergame	Bergamo	Bergamo								
observatoire	observatory	Observatorium	Q62832	https://www.wikidata.org/wiki/Q62832			observatoire	observatory	Observatorium	DEL	exact match						
Barèges	Barèges	Barèges	Q632058	https://www.wikidata.org/wiki/Q632058		42.896666666667,0.065	Barèges	Barèges	Barèges								
Carthage	Carthage	Karthago	Q6343	https://www.wikidata.org/wiki/Q6343		36.852558,10.323461	Carthage	Carthage	Karthago								
Avignon	Avignon	Avignon	Q6397	https://www.wikidata.org/wiki/Q6397		43.948611111111,4.8083333333333	Avignon	Avignon	Avignon								
Berlin	Berlin	Berlin	Q64	https://www.wikidata.org/wiki/Q64		52.516666666667,13.383333333333	Berlin	Berlin	Berlin								
Venise	Venice	Venedig	Q641	https://www.wikidata.org/wiki/Q641		45.439722222222,12.331944444444	Venise	Venice	Venedig								
Montpellier	Montpellier	Montpellier	Q6441	https://www.wikidata.org/wiki/Q6441		43.610919444444,3.8772305555556	Montpellier	Montpellier	Montpellier								
Calais	Calais	Calais	Q6454	https://www.wikidata.org/wiki/Q6454		50.9475,1.8555555555556	Calais	Calais	Calais								
Éphèse	Ephesus	Ephesos	Q64699469	https://www.wikidata.org/wiki/Q64699469		37.92917,27.35944	Éphèse	Ephesus	Ephesos								
Rennes	Rennes	Rennes	Q647	https://www.wikidata.org/wiki/Q647		48.114166666667,-1.6808333333333	Rennes	Rennes	Rennes								
Lille	Lille	Lille	Q648	https://www.wikidata.org/wiki/Q648		50.631944444444,3.0575	Lille	Lille	Lille								
Nismes	Nismes		Q650676	https://www.wikidata.org/wiki/Q650676		50.0747,4.5483	Nismes	Nismes									
Orléans	Orléans	Orléans	Q6548	https://www.wikidata.org/wiki/Q6548		47.902222222222,1.9041666666667	Orléans	Orléans	Orléans								
Narbonne	Narbonne	Narbonne	Q6555	https://www.wikidata.org/wiki/Q6555		43.184722222222,3.0036111111111	Narbonne	Narbonne	Narbonne								
Saint-Pétersbourg	Saint Petersburg	Sankt Petersburg	Q656	https://www.wikidata.org/wiki/Q656		59.95,30.316666666667	Saint-Pétersbourg	Saint Petersburg	Sankt Petersburg								
Périgueux	Périgueux	Périgueux	Q6588	https://www.wikidata.org/wiki/Q6588		45.184166666667,0.71805555555556	Périgueux	Périgueux	Périgueux								
Strasbourg	Strasbourg	Straßburg	Q6602	https://www.wikidata.org/wiki/Q6602		48.573333333333,7.7522222222222	Strasbourg	Strasbourg	Straßburg								
Poitiers	Poitiers	Poitiers	Q6616	https://www.wikidata.org/wiki/Q6616		46.581111111111,0.33527777777778	Poitiers	Poitiers	Poitiers								
île de fiction	fictional island	fiktive Insel	Q6619693	https://www.wikidata.org/wiki/Q6619693			île de fiction	fictional island	fiktive Insel								
Nouvelle-Zélande	New Zealand	Neuseeland	Q664	https://www.wikidata.org/wiki/Q664		-41.2,174	Nouvelle-Zélande	New Zealand	Neuseeland								
Inde	India	Indien	Q668	https://www.wikidata.org/wiki/Q668		22.8,83	Inde	India	Indien								
Indes occidentales	West Indies	Westindische Inseln	Q669037	https://www.wikidata.org/wiki/Q669037		21.98333333,-79.03333333	Indes occidentales	West Indies	Westindische Inseln								
Michette	Manchet		Q6747596	https://www.wikidata.org/wiki/Q6747596			Michette	Manchet									
est	east	Osten	Q684	https://www.wikidata.org/wiki/Q684			est	east	Osten								
Clèves	Kleve	Kleve	Q6842	https://www.wikidata.org/wiki/Q6842		51.79,6.14	Clèves	Kleve	Kleve								
Altendorf	Altendorf	Altendorf SZ	Q69625	https://www.wikidata.org/wiki/Q69625		47.192222222222,8.83	Altendorf	Altendorf	Altendorf SZ								
Berne	Bern	Bern	Q70	https://www.wikidata.org/wiki/Q70		46.94798,7.44743	Berne	Bern	Bern								
Dijon	Dijon	Dijon	Q7003	https://www.wikidata.org/wiki/Q7003		47.323055555556,5.0419444444444	Dijon	Dijon	Dijon								
Abyssinie	Abyssinia	Abessinien	Q7007824	https://www.wikidata.org/wiki/Q7007824			Abyssinie	Abyssinia	Abessinien								
Genève	Geneva	Genf	Q71	https://www.wikidata.org/wiki/Q71		46.2,6.15	Genève	Geneva	Genf								
Zurich	Zürich	Zürich	Q72	https://www.wikidata.org/wiki/Q72		47.378611111111,8.54	Zurich	Zürich	Zürich								
Moyen-Orient	Middle East	Mittlerer Osten	Q7204	https://www.wikidata.org/wiki/Q7204		28,45	Moyen-Orient	Middle East	Mittlerer Osten								
bassin méditerranéen	Mediterranean Basin	Mittelmeerraum	Q72499	https://www.wikidata.org/wiki/Q72499		35,18	bassin méditerranéen	Mediterranean Basin	Mittelmeerraum								
Amsterdam	Amsterdam	Amsterdam	Q727	https://www.wikidata.org/wiki/Q727		52.383333333333,4.9	Amsterdam	Amsterdam	Amsterdam								
république	republic	Republik	Q7270	https://www.wikidata.org/wiki/Q7270			république	republic	Republik								
État	state	Staat	Q7275	https://www.wikidata.org/wiki/Q7275			État	state	Staat								
Noyers	Noyers	Noyers	Q732586	https://www.wikidata.org/wiki/Q732586		47.696944444444,3.9938888888889	Noyers	Noyers	Noyers								
Paraguay	Paraguay	Paraguay	Q733	https://www.wikidata.org/wiki/Q733		-23.5,-58	Paraguay	Paraguay	Paraguay								
Locus amoenus	Locus amoenus	Locus amoenus	Q739317		https://www.wikidata.org/wiki/Q739317		Locus amoenus	Locus amoenus	Locus amoenus	Topic Modeling	close match						
Estrémadure	Estremadura	Estremadura	Q742117	https://www.wikidata.org/wiki/Q742117		38.708042,-9.139016	Estrémadure	Estremadura	Estremadura								
Delphes	Delphi	Delphi	Q75459	https://www.wikidata.org/wiki/Q75459		38.483333333333,22.5	Delphes	Delphi	Delphi								
Ménerville	Ménerville	Ménerville	Q759587	https://www.wikidata.org/wiki/Q759587		48.966111111111,1.6016666666667	Ménerville	Ménerville	Ménerville								
Jamaïque	Jamaica	Jamaika	Q766	https://www.wikidata.org/wiki/Q766		18.18,-77.4	Jamaïque	Jamaica	Jamaika								
Jersey	Jersey	Jersey	Q785	https://www.wikidata.org/wiki/Q785		49.19,-2.11	Jersey	Jersey	Jersey								
Toulouse	Toulouse	Toulouse	Q7880	https://www.wikidata.org/wiki/Q7880		43.604444444444,1.4438888888889	Toulouse	Toulouse	Toulouse								
Égypte	Egypte	Ägypten	Q79	https://www.wikidata.org/wiki/Q79		27,29	Égypte	Egypte	Ägypten	BGRF	exact match						
Southampton	Southampton	Southampton	Q79848	https://www.wikidata.org/wiki/Q79848		50.906666666666666,-1.4044444444444444	Southampton	Southampton	Southampton								
Bengale	Bengal	Bengalen	Q80338	https://www.wikidata.org/wiki/Q80338		24,88	Bengale	Bengal	Bengalen								
Zamé	Zame		Q8065766	https://www.wikidata.org/wiki/Q8065766		11.083333333333,-0.56666666666667	Zamé	Zame									
Lausanne	Lausanne	Lausanne	Q807	https://www.wikidata.org/wiki/Q807		46.533333333333,6.6333333333333	Lausanne	Lausanne	Lausanne								
Bas-Languedoc		Bas-Languedoc	Q809717	https://www.wikidata.org/wiki/Q809717			Bas-Languedoc		Bas-Languedoc								
Levant	Levant	Levante	Q81483	https://www.wikidata.org/wiki/Q81483		34,36	Levant	Levant	Levante								
Silésie	Silesia	Schlesien	Q81720	https://www.wikidata.org/wiki/Q81720		51.1035,17.0396	Silésie	Silesia	Schlesien								
Tyr	Tyre	Tyros	Q82070	https://www.wikidata.org/wiki/Q82070		33.266666666667,35.2	Tyr	Tyre	Tyros								
Liban	Lebanon	Libanon	Q822	https://www.wikidata.org/wiki/Q822		33.833333,35.766667	Liban	Lebanon	Libanon								
zone géographique	geographic region	Region	Q82794	https://www.wikidata.org/wiki/Q82794			zone géographique	geographic region	Region								
Amérique	Americas	Amerika	Q828	https://www.wikidata.org/wiki/Q828		19,-96	Amérique	Americas	Amerika	BGRF	exact match						
Dormans	Dormans	Dormans	Q833380	https://www.wikidata.org/wiki/Q833380		49.076388888889,3.6394444444444	Dormans	Dormans	Dormans								
Tartarie	Tartary	Tatarei	Q83971	https://www.wikidata.org/wiki/Q83971			Tartarie	Tartary	Tatarei								
Londres	London	London	Q84	https://www.wikidata.org/wiki/Q84		51.507222222222,-0.1275	Londres	London	London								
Scythie	Scythia	Skythien	Q845909	https://www.wikidata.org/wiki/Q845909			Scythie	Scythia	Skythien								
montagne	mountain	Berg	Q8502	https://www.wikidata.org/wiki/Q8502			montagne	mountain	Berg	DEL	exact match						
Périgord	Périgord	Périgord	Q850620	https://www.wikidata.org/wiki/Q850620		45.183333333333,0.71666666666667	Périgord	Périgord	Périgord								
désert	desert	Wüste	Q8514	https://www.wikidata.org/wiki/Q8514			désert	desert	Wüste	BGRF	exact match						
Sri Lanka	Sri Lanka	Sri Lanka	Q854	https://www.wikidata.org/wiki/Q854		7,81	Sri Lanka	Sri Lanka	Sri Lanka								
Syrie	Syria	Syrien	Q858	https://www.wikidata.org/wiki/Q858		35.216667,38.583333	Syrie	Syria	Syrien								
Saint-Domingue	Saint-Domingue	Saint-Domingue	Q861551	https://www.wikidata.org/wiki/Q861551		19.1,-72.333333333333	Saint-Domingue	Saint-Domingue	Saint-Domingue								
Bungo	Bungo Province	Provinz Bungo	Q864148	https://www.wikidata.org/wiki/Q864148		33.17972222,131.38611111	Bungo	Bungo Province	Provinz Bungo								
Alexandrie	Alexandria	Alexandria	Q87	https://www.wikidata.org/wiki/Q87		31.2,29.916666666667	Alexandrie	Alexandria	Alexandria								
Grenade	Granada	Granada	Q8810	https://www.wikidata.org/wiki/Q8810		37.178055555556,-3.6008333333333	Grenade	Granada	Granada								
Valence	Valencia	Valencia	Q8818	https://www.wikidata.org/wiki/Q8818		39.47,-0.3763888888888889	Valence	Valencia	Valencia								
Malaga	Málaga	Málaga	Q8851	https://www.wikidata.org/wiki/Q8851		36.716666666667,-4.4166666666667	Malaga	Málaga	Málaga								
Paris	Paris	Paris	Q90	https://www.wikidata.org/wiki/Q90		48.856944444444,2.3513888888889	Paris	Paris	Paris								
Angola	Angola	Angola	Q916	https://www.wikidata.org/wiki/Q916		-12.35,17.35	Angola	Angola	Angola								
Tunisie	Tunisia	Tunesien	Q948	https://www.wikidata.org/wiki/Q948		34,1	Tunisie	Tunisia	Tunesien								
Poitou	Poitou	Poitou	Q954076	https://www.wikidata.org/wiki/Q954076		46.64861111,-0.24777778	Poitou	Poitou	Poitou								
Pékin	Beijing	Peking	Q956	https://www.wikidata.org/wiki/Q956		39.90403,116.407526	Pékin	Beijing	Peking								
Mexique	Mexico	Mexiko	Q96	https://www.wikidata.org/wiki/Q96		23,-102	Mexique	Mexico	Mexiko								
île de Wight	Isle of Wight	Isle of Wight	Q9679	https://www.wikidata.org/wiki/Q9679		50.666666666667,-1.2666666666667	île de Wight	Isle of Wight	Isle of Wight								
